678033,HUMAN
806975,HUMAN
887281,BOT
1382561,HUMAN
1813221,HUMAN
3888491,HUMAN
4121091,HUMAN
5856182,BOT
7004532,HUMAN
8548002,HUMAN
9272142,HUMAN
10866252,HUMAN
11086752,HUMAN
11174562,HUMAN
11690822,HUMAN
13126372,HUMAN
14196068,HUMAN
14235705,HUMAN
14290542,HUMAN
14418605,BOT
14443013,HUMAN
14522589,HUMAN
14739109,HUMAN
14791386,HUMAN
14980820,HUMAN
15006539,BOT
15046379,HUMAN
15224719,HUMAN
15321243,HUMAN
15448383,HUMAN
15488734,BOT
15682749,HUMAN
15809964,HUMAN
15914878,HUMAN
15947185,BOT
16109017,HUMAN
16142914,HUMAN
16180264,HUMAN
16282004,HUMAN
16408909,HUMAN
16459227,BOT
16468451,HUMAN
16484437,HUMAN
16527716,HUMAN
16644246,HUMAN
16649872,HUMAN
16740486,HUMAN
16957615,BOT
17050665,HUMAN
17127177,HUMAN
17132768,HUMAN
17284137,HUMAN
17332562,HUMAN
17372254,HUMAN
17520304,HUMAN
17557537,HUMAN
17608721,HUMAN
17671779,HUMAN
17718315,HUMAN
17748368,HUMAN
17801629,HUMAN
17889654,HUMAN
17949945,HUMAN
18013384,BOT
18046941,HUMAN
18273041,HUMAN
18378944,HUMAN
18441380,HUMAN
18463828,HUMAN
18510639,HUMAN
18917949,HUMAN
18989002,HUMAN
19254862,HUMAN
19300510,HUMAN
19368233,HUMAN
19406030,HUMAN
19759124,HUMAN
19849696,HUMAN
20139449,HUMAN
20219315,HUMAN
20455924,HUMAN
20773759,BOT
20849470,HUMAN
21281949,HUMAN
21331733,BOT
21345227,HUMAN
21425831,HUMAN
21478911,BOT
21479094,BOT
21479204,BOT
21479275,BOT
21479334,BOT
21479394,HUMAN
21479442,BOT
21479515,BOT
21479634,BOT
21479698,BOT
21479860,BOT
21479914,BOT
21479977,BOT
21480027,BOT
21480769,BOT
21482763,BOT
21483823,BOT
21484370,BOT
21567392,BOT
21567639,BOT
21568376,BOT
21629042,BOT
21629735,BOT
21630333,BOT
21671968,HUMAN
21674676,HUMAN
21677965,BOT
21678728,BOT
21680130,BOT
21681088,BOT
21684197,BOT
21684270,BOT
21685911,BOT
21686515,BOT
21696097,BOT
21705621,BOT
21706193,BOT
21707595,BOT
21713167,HUMAN
21723832,BOT
21726078,HUMAN
21728481,BOT
21729815,BOT
21730510,BOT
21763432,HUMAN
21830006,BOT
21959183,HUMAN
21965822,BOT
21967306,BOT
21967510,BOT
21967668,BOT
21967892,BOT
21968201,HUMAN
21968719,BOT
21969267,BOT
22010527,BOT
22020084,HUMAN
22025314,BOT
22026158,BOT
22028233,BOT
22028414,BOT
22028695,BOT
22030301,BOT
22030384,BOT
22030524,BOT
22030724,BOT
22032722,BOT
22033042,BOT
22033273,BOT
22036045,HUMAN
22036335,BOT
22036558,BOT
22036700,BOT
22036862,BOT
22037090,BOT
22037363,BOT
22037511,BOT
22037687,BOT
22054390,BOT
22201064,HUMAN
22207145,
22256645,BOT
22262660,BOT
22278466,HUMAN
22287588,BOT
22293089,HUMAN
22294066,BOT
22316443,BOT
22324329,HUMAN
22328759,BOT
22328975,BOT
22363501,BOT
22363847,BOT
22365931,BOT
22366503,BOT
22369946,BOT
22394939,BOT
22408580,BOT
22411670,HUMAN
22437649,HUMAN
22444380,BOT
22450103,BOT
22516953,BOT
22536061,BOT
22574982,BOT
22578323,BOT
22600734,HUMAN
22635533,BOT
22663627,BOT
22726923,BOT
22727181,BOT
